algorithm,numbins,numitems,bitsperitem,instance_id,runtime,diff
integer-programming,2,90,16,4,0.1467233000003034,6.317710057541703e-07
integer-programming,2,90,16,5,0.4476292999997895,0.0
integer-programming,2,90,16,6,0.3201028000003134,6.775742570567665e-07
integer-programming,2,90,16,7,0.0817340999992666,6.614334055618612e-07
integer-programming,2,90,16,8,0.5860081999999238,6.66366801605944e-07
integer-programming,2,90,16,9,0.2843008999998346,0.0
integer-programming,2,100,16,0,0.3007381999996141,0.0
integer-programming,2,100,16,1,0.323441499999717,0.0
integer-programming,2,100,16,2,0.5110157999997682,0.0
integer-programming,2,100,16,3,0.5782316999993782,5.66130239393833e-07
integer-programming,2,100,16,4,1.6177670999995826,0.0
integer-programming,2,100,16,5,0.5339957999995022,0.0
integer-programming,2,100,16,6,0.6630503999995199,6.21552326936524e-07
integer-programming,2,100,16,7,1.3194998999997551,6.223751328770908e-07
integer-programming,2,100,16,8,0.2009621000006518,0.0
integer-programming,2,100,16,9,0.3645437999994101,5.947884634829623e-07
integer-programming,2,15,16,0,0.9722219,7.798649273945752e-05
integer-programming,2,15,16,1,0.3899651999999998,1.813368150001813e-05
integer-programming,2,15,16,2,0.4119209000000001,6.596567146456984e-06
integer-programming,2,15,16,3,0.3892134,1.8482153170844403e-05
integer-programming,2,15,16,4,0.2902491000000005,7.761628144480665e-05
integer-programming,2,15,16,5,0.4786344999999992,8.6878457038603e-05
integer-programming,2,15,16,6,0.3684303999999994,0.0001846873653321
integer-programming,2,15,16,7,0.4503098999999997,3.887541207936804e-06
integer-programming,2,15,16,8,0.4209889000000002,5.998290487211145e-05
integer-programming,2,15,16,9,0.2838488999999997,3.8250059765718383e-05
integer-programming,2,15,32,0,0.5408211000000005,1.02788531077463e-05
integer-programming,2,15,32,1,0.1984066000000002,4.044624685651349e-06
integer-programming,2,15,32,2,0.5140698000000006,0.0001468498639503
integer-programming,2,15,32,3,0.433340900000001,5.288865696751446e-05
integer-programming,2,15,32,4,0.4168830999999997,9.11671443603028e-06
integer-programming,2,15,32,5,0.5888504000000001,7.0083180350720696e-06
integer-programming,2,15,32,6,0.497015300000001,2.751482555581645e-05
integer-programming,2,15,32,7,0.3935116000000001,2.246236037974243e-05
integer-programming,2,15,32,8,0.4845615999999992,9.525830591211338e-05
integer-programming,2,15,32,9,0.4082512000000005,1.3694237001834216e-05
integer-programming,2,15,48,0,0.4593971999999997,2.7199447406243176e-05
integer-programming,2,15,48,1,0.5387712999999987,1.484337121793309e-05
integer-programming,2,15,48,2,0.6370049000000009,2.470339614423382e-05
integer-programming,2,15,48,3,0.533438499999999,5.221732563941192e-05
integer-programming,2,15,48,4,0.4801970000000004,8.450654831998534e-05
integer-programming,2,15,48,5,0.0583076999999985,0.000219438824303
integer-programming,2,15,48,6,0.3396337000000002,2.2706832282047567e-05
integer-programming,2,15,48,7,0.0650805000000005,0.0003012898060507
integer-programming,2,15,48,8,0.0522894999999987,0.00045597398994
integer-programming,2,15,48,9,0.5461857999999999,4.040007069445091e-05
integer-programming,2,25,16,0,0.4056628,2.405471003249792e-06
integer-programming,2,25,16,1,0.2630901999999988,2.52861763002784e-06
integer-programming,2,25,16,2,0.4930833999999997,2.144142096585025e-06
integer-programming,2,25,16,3,0.0209296999999999,0.0
integer-programming,2,25,16,4,0.3001847999999967,2.679363276111065e-06
integer-programming,2,25,16,5,0.458287300000002,2.5082710237006527e-06
integer-programming,2,25,16,6,0.2745442999999987,0.0
integer-programming,2,25,16,7,0.6180234999999996,0.0
integer-programming,2,25,16,8,0.2399540000000009,0.0
integer-programming,2,25,16,9,0.2097771000000001,0.0
integer-programming,2,25,32,0,265.9280345,5.940974901205625e-08
integer-programming,2,35,16,0,0.1369503999999892,1.8226323550050395e-06
integer-programming,2,35,16,1,0.3263519000000201,0.0
integer-programming,2,35,16,2,0.2583945999999741,0.0
